"Place Order","Finalizar Encomenda"
"<div class=""ifthenpay-payment-logo""></div><div class=""ifthenpay-payment-text"">Pagamentos por Multibanco, MB WAY, Payshop e Cartão de Crédito</div>","<div class=""ifthenpay-payment-logo""></div><div class=""ifthenpay-payment-text"">Pagamentos por Multibanco, MB WAY, Payshop e Cartão de Crédito</div>."
"Sandbox Mode","Modo Sandbox"
"Activate sandbox mode to test the module without activating the callback.","Ative o modo sandbox para testar o módulo sem ativar o callback."
"Backoffice key","Chave de acesso ao backoffice"
"Insert Backoffice key provided by Ifthenpay.","Insira a chave de acesso ao backoffice fornecida pela Ifthenpay."
"Multibanco Configuration","Multibanco Configurações"
"Enable","Activar"
"Activate Callback","Activar Callback"
"Activate callback automatically. If sandbox mode is enabled, callback will not activate.","Activar o callback automaticamente. Se o modo sandbox estiver ativo, o callback não será ativado."
"Entity","Entidade"
"Sub Entity","Sub Entidade"
"Choose the entity and sub entity will appear automatically","Escolha a entidade e a sub entidade irá aparecer automaticamente."
"Choose New Entidade/SubEntidade","Escolher Nova Entidade/SubEntidade"
"Request Multibanco Account","Solicitar Conta Multibanco"
"Don't have multibanco account? Click to add multibanco account","Não tem conta multibanco? Clique para solicitar uma conta multibanco."
"Reset Accounts","Reiniciar Contas"
"Reset Backoffice Key", "Reiniciar chave de acesso ao backoffice"
"Click to insert new backoffice key", "Click para inserir nova chave de acesso ao backoffice"
"Add new account? Click to reset your accounts","Adicionou novas contas? Click para reiniciar as contas"
"Payment from Applicable Countries","Pagamento de países aplicáveis"
"Payment from Specific Countries","Pagamento de países específicos"
"MB WAY Configuration","MB WAY Configurações"
"Cancel MB WAY Order","Cancelar Encomenda MB WAY"
"Automatically cancel MB WAY order when payment notification expired.", "Cancele automaticamente a encomenda MB WAY quando a notificação de pagamento expirar."
"MB WAY Key","MB WAY Key"
"Request MB WAY Account","Solicitar Conta MB WAY"
"Don't have mbway account? Click to request an mbway account","Não tem conta MB WAY? Clique para solicitar uma conta MB WAY"
"Payshop Configuration","Payshop Configurações"
"Payshop Key","Payshop Key"
"Payshop Deadline","Payshop Validade"
"Request Payshop Account","Solicitar Conta Payshop"
"Don't have payshop account? Click to request an payshop account","Não tem conta no Payshop? Clique para solicitar uma conta do Payshop"
"Credit Card Configuration","Credit Card Configuration"
"Cancel Credit Card Order","Cancelar Encomenda Cartão de Crédito"
"Automatically cancel Credit Card order when payment expired.","Cancelar encomenda com cartão de crédito automaticamente quando o pagamento expirar."
"CCard Key","CCard Key"
"Request Credit Card Account","Solicitar Conta Cartão de Crédito"
"Don't have credit card account? Click to request an credit card account","Não tem conta de Cartão de Crédito? Clique para solicitar uma conta de Cartão de Crédito"
"Request New Account", "Solicitar Nova Conta"
"Callback Activated","Callback Activado"
"Callback not Activated","Callback não está ativado"
"Anti-Phishing Key","Chave Anti-Phishing"
"Callback Url","Url de Callback"
"Entity","Entidade"
"Reference","Referência"
"Request ID","ID Pedido"
"MB WAY Phone","Telemóvel MB WAY"
"Total to Pay","Valor"
"changeEntidadeError","Erro a alterar a entidade"
"changeEntidadeSubEntidade","Erro a alterar a entidade/subentidade"
"backofficeKeyRequired","Chave de acesso ao backoffice é obrigatória"
"resendMbwayNotificationSuccess","Notificação reenviada com sucesso, por favor confirme o pagamento na sua app."
"resendMbwayNotificationError","Erro a reenviar a notificação do mbway, por favor contacte o administrador da loja."
"confirmPaymentMbwayApp","Confirme o pagamento na App MB WAY"
"confirmPaymentMbwayExpire","Se não confirmar o pagamento em 5 minutos, a notificação de pagamento irá expirar."
"confirmPaymentMbwayExpireTitle","Notificação MB WAY expirou!"
"confirmPaymentMbwayExpireDescription","A notificação expirou, porque excedeu o prazo limite de pagamento."
"mbwayClickToResend","Clique em reenviar notificação para receber nova notificação de pagamento."
"mbwayOrderPaid","Encomenda Paga!"
"mbwayOrderConfirmed","Pagamento confirmado, seu pedido será enviado."
"payBy","Pagar por"
"Phone","Telemóvel"
"order","Encomenda"
"mbwayNotificationNotReceived","Não recebeu a notificação MB WAY?"
"mbwayResendNotification","Reenviar Notificação MB WAY"
"emailSent","Foi enviado um email com os dados de pagamento."
"orderShiped","A sua encomenda será enviada assim que o pagamento for confirmado."
"creditCardPaymenCanceledTitle","Pagamento por Cartão de Crédito cancelado!"
"creditCardPaymenCanceledDescription","O pagamento foi cancelado pelo cliente."
"wentWrong","Algo correu mal!"
"wentWrongDescription","Ocorreu um erro ao processar o seu pedido, por favor entre em contacto com o nosso suporte."
"errorRetreivingSubEntidade","Erro ao gerar a subEntidade."
"emailRequestNewAccount","Email a solicitar nova conta enviado com sucesso."
"emailRequestDynamicMbAccount", "Email a solicitar validade na conta Multibanco enviado com sucesso."
"errorRequestNewAccount","Erro ao solicitar nova conta."
"errorResetingAccounts","Erro ao renicializar contas."
"errorResetingBackofficeKey", "Error ao renicializar a chave de acesso ao backoffice."
"mbwayMobilePhone","MB WAY Telemóvel"
"mbwayPhoneRequired","Telemóvel MB WAY é Obrigatório."
"mbwayPhoneInvalid","Telemóvel MB WAY é inválido."
"mbwayPhoneMinlength","Telemóvel MB WAY é inválido."
"erroMbwayOrderVerify","Erro ao verificar a encomenda por MB WAY."
"errorIfthenpayDatabaseTables","Erro a criar as tabelas dos métodos de pagamento na base de dados."
"errorUpdateMultibancoDatabaseTable", "Erro ao atualizar a table do multibanco."
"Configure Cron Job on your server.", "Configure o Cron Job no seu servidor."
"Deadline","Data Limite de Pagamento"
"Ifthenpay Module Version is available. Please Update Ifthenpay Module.", "A versão do módulo Ifthenpay está disponível. Atualize o módulo Ifthenpay."
"Go to <a href="%1">Github Realease</a> to review.", "Vá a <a href="%1">Github Realease</a> para rever a atualização."
"Show Payment Icon on Checkout", "Mostrar Logotipo do Pagamento no Checkout"
"Request Multibanco Deadline", "Request Multibanco Validade"
"Don't have a deadline associated to your multibanco account? Click to add an deadline to your multibanco account", "Não tem validade associado à sua conta multibanco? Clique para adicionar uma validade à sua conta multibanco"
"errorRequestMultibancoDeadline", "Erro ao solicitar multibanco validade."
